missing_transitions,learning_rounds,automaton_size,learning_time,smt_time,eq_oracle_time,total_time,queries_learning,successful_queries_learning,validity_query,nodes,informative_nodes,sul_steps,cache_saved,queries_eq_oracle,steps_eq_oracle,successful
0,7,16,2.392810106277466,4.250657320022583,0.0009493827819824219,6.644416809082031,2374,2374,7,2384,2384,13621,0,0,0,True
0,7,16,2.4218502044677734,4.261530876159668,0.0010459423065185547,6.68442702293396,2375,2375,7,2387,2387,13621,0,0,0,True
0,7,16,2.4941461086273193,4.194460153579712,0.0010294914245605469,6.689635753631592,2362,2362,7,2375,2375,13595,0,0,0,True
0,7,16,2.42866849899292,4.327573776245117,0.0010085105895996094,6.757250785827637,2374,2374,7,2385,2385,13625,0,0,0,True
0,7,16,2.4838757514953613,4.27886176109314,0.0010974407196044922,6.7638349533081055,2370,2370,7,2382,2382,13595,0,0,0,True
0,7,16,2.5164589881896973,4.2647385597229,0.0010690689086914062,6.782266616821289,2370,2370,7,2382,2382,13595,0,0,0,True
0,7,16,2.4695959091186523,4.28227686882019,0.0010416507720947266,6.7529144287109375,2374,2374,7,2387,2387,13637,0,0,0,True
0,7,16,2.481907844543457,4.3106529712677,0.0010683536529541016,6.793629169464111,2376,2376,7,2389,2389,13643,0,0,0,True
0,7,16,2.5178985595703125,4.290356874465942,0.0010478496551513672,6.809303283691406,2369,2369,7,2381,2381,13635,0,0,0,True
0,7,16,2.6069397926330566,4.226630210876465,0.000985860824584961,6.8345558643341064,2371,2371,7,2384,2384,13611,0,0,0,True
0,7,16,2.6193015575408936,4.274729013442993,0.0010879039764404297,6.895118474960327,2368,2368,7,2390,2390,13633,0,0,0,True
0,7,16,2.4887592792510986,4.399038553237915,0.0010082721710205078,6.888806104660034,2382,2382,7,2407,2407,13687,0,0,0,True
0,9,16,2.492976427078247,4.818708181381226,0.0010986328125,7.312783241271973,2379,2379,8,2394,2394,13660,0,0,0,True
0,10,16,2.595682382583618,5.0200207233428955,0.0011324882507324219,7.616835594177246,2379,2379,9,2395,2395,13650,0,0,0,True
0,10,16,2.5850253105163574,5.083591938018799,0.0011334419250488281,7.669750690460205,2376,2376,9,2395,2395,13630,0,0,0,True
0,12,16,2.9245474338531494,5.469208478927612,0.0011284351348876953,8.39488434791565,2368,2368,11,2390,2390,13617,0,0,0,True
5,7,16,2.4798450469970703,4.070620059967041,0.0012586116790771484,6.5517237186431885,2384,2384,7,2398,2398,16023,0,0,0,True
5,7,16,2.6163878440856934,3.9352619647979736,0.0011434555053710938,6.552793264389038,2370,2370,7,2382,2382,13595,0,0,0,True
5,7,16,2.556330919265747,4.079899549484253,0.0013115406036376953,6.637542009353638,2380,2376,7,2393,2389,13659,0,0,0,True
5,7,16,2.6716935634613037,3.989384174346924,0.0011577606201171875,6.662235498428345,2397,2384,7,2415,2402,14747,0,0,0,True
5,7,16,2.7179207801818848,3.9192731380462646,0.0012714862823486328,6.638465404510498,2382,2382,7,2407,2407,13687,0,0,0,True
5,8,16,2.7469537258148193,4.417832851409912,0.0011937618255615234,7.165980339050293,2372,2368,8,2395,2392,13648,0,0,0,True
5,9,16,2.6600749492645264,4.414808988571167,0.0012629032135009766,7.076146841049194,2378,2378,8,2395,2395,13647,0,0,0,True
5,11,16,2.9085259437561035,5.054093837738037,0.001291513442993164,7.963911294937134,2408,2319,11,2439,2355,15127,0,0,0,True
5,9,16,2.906222105026245,5.327573299407959,0.001378774642944336,8.235174179077148,2404,2377,9,2426,2401,14787,0,0,0,True
5,11,16,2.936474323272705,5.508437633514404,0.0013053417205810547,8.44621729850769,2405,2381,10,2425,2401,13824,0,0,0,True
5,13,16,3.078259229660034,6.15345311164856,0.001279592514038086,9.232991933822632,2404,2306,13,2431,2340,14144,0,0,0,True
5,10,16,2.985635757446289,5.214982271194458,0.001260995864868164,8.201879024505615,2375,2367,9,2397,2390,13648,0,0,0,True
10,7,16,2.4989964962005615,4.119561195373535,0.0015163421630859375,6.620074033737183,2387,2385,7,2401,2399,16348,0,0,0,True
10,8,16,2.98037052154541,4.452674627304077,0.0014259815216064453,7.434471130371094,2421,2381,8,2448,2409,14923,0,0,0,True
5,26,16,4.926133155822754,14.56535029411316,0.0019328594207763672,19.49341630935669,2673,2393,23,2779,2507,17282,0,0,0,False
10,15,16,3.197538375854492,7.174945116043091,0.0017828941345214844,10.374266386032104,2410,2380,14,2439,2410,16416,0,0,0,True
5,23,16,4.233994245529175,22.88379216194153,0.0018122196197509766,27.119598627090454,2451,2335,20,2509,2397,15638,0,0,0,True
10,9,16,3.0003767013549805,5.658401727676392,0.0017597675323486328,8.66053819656372,2399,2390,9,2415,2407,15034,0,0,0,True
10,16,16,3.562014579772949,7.325241327285767,0.0018320083618164062,10.889087915420532,2409,2372,15,2437,2402,16408,0,0,0,True
10,15,16,4.500019073486328,14.88459849357605,0.0021505355834960938,19.386768102645874,2467,2338,14,2524,2396,15341,0,0,0,True
5,44,16,6.731292009353638,27.659186840057373,0.00287628173828125,34.39335513114929,2648,2388,41,2748,2515,16035,0,0,0,False
10,18,16,4.247825622558594,22.65351700782776,0.0019373893737792969,26.903280019760132,2468,2333,16,2529,2398,15807,0,0,0,True
10,27,16,4.522624731063843,29.78592538833618,0.0026488304138183594,34.31119894981384,2419,2407,24,2439,2431,14892,0,0,0,True
15,17,16,3.2097558975219727,13.883479118347168,0.0019638538360595703,17.0951988697052,2437,2387,14,2462,2412,15149,0,0,0,True
15,13,16,3.2368078231811523,6.9517457485198975,0.0019528865814208984,10.19050645828247,2425,2391,12,2448,2416,14896,0,0,0,True
15,15,16,4.1842498779296875,16.085457801818848,0.0026710033416748047,20.27237868309021,2477,2347,14,2535,2407,20626,0,0,0,True
10,40,16,10.737313985824585,49.94654178619385,0.0039141178131103516,60.68776988983154,2803,2351,36,2942,2518,27045,0,0,0,True
15,29,16,5.025158882141113,41.71277117729187,0.003252267837524414,46.74118232727051,2402,2399,27,2415,2412,14982,0,0,0,True
15,8,16,2.601306915283203,4.890620231628418,0.0015141963958740234,7.493441343307495,2406,2396,8,2424,2414,17156,0,0,0,True
10,79,16,8.870457172393799,72.24735593795776,0.004882335662841797,81.1226954460144,2565,2369,73,2638,2443,18523,0,0,0,True
15,100,16,19.141021251678467,49.595921754837036,0.005974769592285156,68.74291777610779,2811,2284,98,2950,2508,23951,0,0,0,False
5,62,16,19.03430986404419,122.20405435562134,0.03229188919067383,141.2706561088562,2629,2259,58,2718,2351,17403,0,0,0,True
10,103,16,31.58012056350708,114.75599098205566,0.006578207015991211,146.34268975257874,2997,2200,101,3193,2487,23898,0,0,0,False
15,33,16,9.269155025482178,60.36177372932434,0.004575967788696289,69.63550472259521,2520,2332,31,2598,2423,20595,0,0,0,True
15,85,16,16.135884284973145,115.31727528572083,0.03486490249633789,131.4880244731903,2542,2197,82,2623,2301,19342,0,0,0,True
20,57,16,12.902735233306885,73.14501714706421,0.006063222885131836,86.05381560325623,2686,2269,51,2834,2442,21655,0,0,0,True
20,30,16,5.64626669883728,43.77232789993286,0.004495859146118164,49.42309045791626,2486,2353,26,2540,2414,16345,0,0,0,True
20,60,16,13.724289178848267,105.82871532440186,0.007107734680175781,119.5601122379303,2772,2333,52,2878,2463,22999,0,0,0,True
15,98,16,19.197630882263184,250.9136185646057,0.04436159133911133,270.155611038208,2650,2422,92,2738,2520,19724,0,0,0,True
15,99,16,17.653613805770874,157.00473618507385,0.04613232612609863,174.70448231697083,2402,2243,96,2451,2319,19189,0,0,0,True
20,40,16,7.257349252700806,43.20005702972412,0.004855155944824219,50.46226143836975,2696,2340,31,2834,2492,18775,0,0,0,False
10,132,16,35.218266248703,387.23465180397034,0.027190446853637695,422.480108499527,3021,2275,124,3152,2451,25486,0,0,0,True
15,151,16,33.5526397228241,361.40475153923035,0.04237723350524902,394.9997684955597,2493,2084,146,2569,2213,20145,0,0,0,False
10,167,16,73.897225856781,367.8311278820038,0.015552043914794922,441.7439057826996,3936,2153,161,4569,2937,37976,0,0,0,False
20,32,16,8.504799365997314,57.21363830566406,0.005260944366455078,65.72369861602783,2570,2296,30,2686,2418,19801,0,0,0,True
20,32,16,10.52743935585022,58.36270213127136,0.0053446292877197266,68.8954861164093,2747,2322,31,2855,2451,21140,0,0,0,True
20,36,16,5.185350179672241,26.81169366836548,0.003910064697265625,32.000953912734985,2432,2349,34,2462,2390,17330,0,0,0,True
10,169,16,103.32188439369202,420.72595858573914,0.017273426055908203,524.0651164054871,4583,2295,163,5522,3386,40298,0,0,0,False
10,160,16,54.710031509399414,479.15290665626526,0.04245781898498535,533.9053959846497,3027,2342,154,3170,2510,26550,0,0,0,True
15,167,16,83.90965175628662,440.12901306152344,0.05467724800109863,524.0933420658112,3603,2339,163,4243,3059,36465,0,0,0,False
20,106,16,38.94563293457031,255.7348029613495,0.012562036514282227,294.6929979324341,3139,2375,100,3367,2685,26716,0,0,0,False
15,186,16,54.83871507644653,526.9296650886536,0.016633033752441406,581.7850131988525,4002,2354,180,4463,2900,44821,0,0,0,False
15,265,16,63.12436771392822,494.24500846862793,0.05030369758605957,557.4196798801422,3007,2289,258,3137,2561,26870,0,0,0,True
20,123,16,30.419673681259155,318.9736306667328,0.014576435089111328,349.40788078308105,3072,2413,118,3209,2606,24588,0,0,0,True
25,35,16,5.052449703216553,25.163856029510498,0.00463414192199707,30.220939874649048,2486,2391,32,2526,2443,18366,0,0,0,True
20,164,16,70.79213404655457,246.500239610672,0.020765304565429688,317.313138961792,3592,2074,159,4061,2678,29643,0,0,0,False
20,174,16,55.138067960739136,300.768559217453,0.024544954299926758,355.93117213249207,3592,2109,169,3974,2622,34695,0,0,0,False
25,94,16,14.728692054748535,155.8849971294403,0.010794401168823242,170.62448358535767,2629,2414,87,2695,2522,22861,0,0,0,True
25,144,16,22.16301131248474,266.34565019607544,0.029067039489746094,288.5377285480499,2525,2049,136,2656,2246,18110,0,0,0,False
15,320,16,78.6571033000946,943.5101552009583,0.05151009559631348,1022.2187685966492,2995,2190,313,3237,2557,25317,0,0,0,False
25,182,16,60.68124842643738,480.79531145095825,0.07119512557983398,541.5477550029755,2992,2235,178,3166,2503,26353,0,0,0,False
25,68,16,20.872512340545654,129.87107872962952,0.01253962516784668,150.75613069534302,2842,2380,64,2962,2527,25594,0,0,0,True
25,68,16,12.578166961669922,156.99142122268677,0.023340940475463867,169.59292912483215,2231,2074,61,2285,2142,17147,0,0,0,False
25,124,16,31.58796238899231,510.85649728775024,0.06683349609375,542.5112931728363,2542,2263,115,2657,2390,17457,0,0,0,False
25,126,16,29.659630298614502,489.6062841415405,0.09346580505371094,519.3593802452087,2578,2283,117,2689,2416,19546,0,0,0,False
30,35,16,6.336645841598511,25.503816843032837,0.00525665283203125,31.84571933746338,2487,2299,32,2560,2385,18857,0,0,0,True
15,266,16,83.08790588378906,1143.5502333641052,0.05736088752746582,1226.6955001354218,3024,2289,258,3196,2537,27157,0,0,0,False
25,168,16,34.91826868057251,358.531289100647,0.05414938926696777,393.50370717048645,2727,2297,163,2844,2463,22004,0,0,0,True
30,76,16,10.980610370635986,118.4717845916748,0.010665416717529297,129.46306037902832,2232,2063,69,2277,2157,17057,0,0,0,True
20,308,16,113.75265264511108,957.2335572242737,0.06955218315124512,1071.055762052536,3673,2213,299,3980,2762,40238,0,0,0,False
20,267,16,107.43741941452026,791.3292460441589,0.06809616088867188,898.8347616195679,3825,2116,259,4250,2719,39384,0,0,0,False
30,120,16,28.962708473205566,343.332478761673,0.04465937614440918,372.33984661102295,2449,2174,118,2502,2256,18732,0,0,0,False
30,119,16,31.136307954788208,356.85996413230896,0.02425217628479004,388.02052426338196,2812,2165,111,2963,2376,26300,0,0,0,True
25,276,16,122.77109837532043,1091.702718257904,0.04207587242126465,1214.5158925056458,4211,2395,270,4797,3243,46558,0,0,0,False
30,190,16,48.190813302993774,397.4263639450073,0.052414894104003906,445.6695921421051,2848,2304,181,2987,2530,21756,0,0,0,True
25,329,16,98.8590235710144,707.7259011268616,0.05121731758117676,806.6361420154572,3741,2152,322,4217,2863,39104,0,0,0,False
30,45,16,8.30161738395691,48.963454484939575,0.005823850631713867,57.2708957195282,2751,2436,38,2908,2606,21312,0,0,0,False
30,226,16,46.86297416687012,627.2899143695831,0.06068754196166992,674.2135760784149,2868,2209,218,3111,2511,26019,0,0,0,False
30,194,16,56.87643313407898,392.62957787513733,0.03356432914733887,449.53957533836365,3880,2065,189,4483,2844,42464,0,0,0,False
25,386,16,133.4356153011322,1385.4150927066803,0.11555051803588867,1518.9662585258484,3575,2045,377,4032,2760,34094,0,0,0,False
30,47,16,8.562126159667969,46.45735192298889,0.0071485042572021484,55.02662658691406,2500,2341,43,2553,2418,21056,0,0,0,True
25,443,16,142.87714433670044,1019.5115218162537,0.06583666801452637,1162.4545028209686,4581,2013,435,5568,3425,49189,0,0,0,False
30,214,16,49.540581464767456,543.9207978248596,0.03608083724975586,593.4974601268768,3354,2335,206,3607,2714,36748,0,0,0,False
35,62,16,13.261921882629395,120.09857678413391,0.010371923446655273,133.37087059020996,2805,2401,53,2957,2578,20521,0,0,0,False
35,76,16,13.30293583869934,175.88848686218262,0.03621649742126465,189.22763919830322,2255,2105,72,2305,2173,17381,0,0,0,False
25,345,16,153.41289925575256,1126.8966670036316,0.06590938568115234,1280.3754756450653,4010,2214,337,4592,3001,33933,0,0,0,False
25,434,16,146.37455439567566,1095.4904103279114,0.05397987365722656,1241.9189445972443,4600,2016,426,5574,3404,43204,0,0,0,False
35,34,16,11.070899963378906,67.9139757156372,0.008972644805908203,78.99384832382202,2733,2371,33,2806,2463,23467,0,0,0,True
30,133,16,42.23975706100464,580.2405343055725,0.07941484451293945,622.5597062110901,2784,2238,123,2946,2432,21753,0,0,0,False
30,199,16,68.71542191505432,622.2097191810608,0.05820298194885254,690.983344078064,3305,2375,192,3594,2759,31377,0,0,0,False
35,57,16,14.206291198730469,70.61201238632202,0.007348775863647461,84.82565236091614,2806,2325,52,2939,2488,23074,0,0,0,True
30,230,16,63.33608293533325,640.2598736286163,0.0387272834777832,703.6346838474274,3660,2193,224,4143,2851,44420,0,0,0,False
35,112,16,24.847556591033936,314.5109839439392,0.04733896255493164,339.4058794975281,2298,2142,108,2338,2202,15693,0,0,0,False
25,282,16,73.16374182701111,1528.115629196167,0.11935997009277344,1601.3987309932709,2784,2192,274,2932,2411,21460,0,0,0,False
35,155,16,33.94902276992798,302.4142289161682,0.020186901092529297,336.3834385871887,3146,2444,147,3400,2778,27833,0,0,0,False
30,274,16,113.08340978622437,798.9267411231995,0.060515642166137695,912.07066655159,4395,2255,267,4612,2689,45068,0,0,0,False
35,25,16,6.287018775939941,48.91752076148987,0.0056171417236328125,55.21015667915344,2471,2369,23,2517,2420,18763,0,0,0,True
30,319,16,98.17327213287354,869.5450479984283,0.087982177734375,967.8063023090363,3395,2407,311,3706,2890,32918,0,0,0,False
35,172,16,29.41988229751587,417.24335527420044,0.05423593521118164,446.7174735069275,2645,2322,165,2707,2424,20165,0,0,0,True
10,410,16,292.465615272522,2879.528398036957,0.1133263111114502,3172.10733962059,4580,2690,404,5446,3693,49575,0,0,0,False
40,67,16,15.780604124069214,137.56953477859497,0.044591665267944336,153.39473056793213,2394,2213,64,2455,2293,20479,0,0,0,True
40,175,16,37.58798360824585,325.7032415866852,0.02131199836730957,363.31253719329834,3223,2441,166,3481,2811,27243,0,0,0,False
35,216,16,51.32727885246277,1084.816519498825,0.07011771202087402,1136.2139160633087,2807,2417,208,2931,2618,20634,0,0,0,False
40,160,16,34.25413513183594,600.9553332328796,0.026508808135986328,635.2359771728516,3268,2437,152,3561,2827,28800,0,0,0,False
20,433,16,323.9147789478302,3039.0995264053345,0.13258624076843262,3363.146891593933,4316,2434,426,4955,3265,48773,0,0,0,False
35,173,16,37.51952910423279,1054.751181602478,0.08984112739562988,1092.3605518341064,2468,2157,163,2569,2298,16247,0,0,0,False
35,245,16,91.72911071777344,1245.325756072998,0.09928345680236816,1337.1541502475739,3217,2318,237,3413,2619,28750,0,0,0,False
40,262,16,158.1951150894165,738.0623469352722,0.0572967529296875,896.3147587776184,4512,2352,256,5320,3406,45173,0,0,0,False
40,276,16,73.78056597709656,919.9484124183655,0.0969247817993164,993.8259031772614,3443,2218,268,3708,2664,37679,0,0,0,False
40,211,16,86.2907190322876,669.8502151966095,0.0487675666809082,756.189701795578,4094,2256,206,4573,2895,45148,0,0,0,False
40,195,16,120.6819076538086,637.4767420291901,0.03856396675109863,758.1972136497498,4103,2350,189,4755,3185,40231,0,0,0,False
40,345,16,144.657639503479,832.1935343742371,0.06698465347290039,976.918158531189,4446,1918,337,5368,3172,46369,0,0,0,False
20,532,16,326.6480369567871,3900.203685760498,0.18979597091674805,4227.041518688202,4632,2576,524,5423,3586,42735,0,0,0,False
40,289,16,122.96017622947693,815.1588275432587,0.06661057472229004,938.1856143474579,4360,2100,279,5057,3064,41787,0,0,0,False
40,142,16,28.978991508483887,339.4665126800537,0.05651688575744629,368.50202107429504,2622,2298,137,2697,2406,21721,0,0,0,True
35,513,16,219.23824906349182,2376.649427652359,0.15249395370483398,2596.0401706695557,4566,2392,503,5138,3383,47545,0,0,0,False
20,489,16,364.2031602859497,4129.670923471451,0.20106124877929688,4494.07514500618,4270,2619,483,4868,3392,37250,0,0,0,False
40,342,16,122.77159690856934,1143.7572920322418,0.11572456359863281,1266.6446135044098,4066,2183,334,4404,2796,48473,0,0,0,False
45,212,16,66.47371673583984,626.2010071277618,0.0674293041229248,692.7421531677246,3070,2311,208,3249,2595,25587,0,0,0,False
35,410,16,270.8328251838684,2728.726354122162,0.15237998962402344,2999.7115592956543,4172,2350,402,4770,3170,37170,0,0,0,False
45,132,16,46.09087777137756,276.8845090866089,0.028452157974243164,323.0038390159607,3199,2276,124,3383,2546,29532,0,0,0,True
45,129,16,46.11308145523071,290.7266082763672,0.01993870735168457,336.8596284389496,3186,2271,122,3402,2596,29776,0,0,0,True
40,269,16,66.35123753547668,1090.4318854808807,0.05894041061401367,1156.8420634269714,3480,2075,261,3672,2524,29588,0,0,0,False
40,296,16,79.04111886024475,951.7986183166504,0.09218454360961914,1030.9319217205048,3201,2039,291,3421,2439,38658,0,0,0,False
40,332,16,115.91187691688538,1028.199594259262,0.06330490112304688,1144.1747760772705,4635,2110,324,5512,3270,51550,0,0,0,False
45,282,16,92.87123918533325,860.2810702323914,0.06666088104248047,953.2189702987671,4568,1999,272,5541,3203,49578,0,0,0,False
45,154,16,34.45786643028259,573.5968248844147,0.06257367134094238,608.1172649860382,2893,2434,144,3074,2658,21619,0,0,0,False
45,194,16,41.452951192855835,557.6217341423035,0.07662582397460938,599.1513111591339,2781,2348,189,2871,2508,30854,0,0,0,True
35,427,16,242.3597264289856,2786.348265647888,0.1686716079711914,3028.876663684845,4095,2398,421,4628,3165,44232,0,0,0,False
45,206,16,64.7938301563263,664.1025352478027,0.1111612319946289,729.0075266361237,3174,2399,196,3395,2715,31067,0,0,0,False
45,377,16,112.64148283004761,1310.5794146060944,0.11851024627685547,1423.3394076824188,3803,2381,372,4159,3000,44232,0,0,0,False
45,479,16,193.99594378471375,1599.1151099205017,0.18056988716125488,1793.2916235923767,4501,2188,469,5267,3278,44444,0,0,0,False
45,349,16,136.74526023864746,862.1109220981598,0.08039999008178711,998.936582326889,4284,2229,340,5024,3278,40186,0,0,0,False
50,125,16,19.85688042640686,176.40530014038086,0.019705533981323242,196.28188610076904,2656,2247,119,2759,2433,22621,0,0,0,True
45,286,16,80.97140336036682,818.7395932674408,0.06195378303527832,899.7729504108429,4054,2070,278,4578,2807,45828,0,0,0,False
45,431,16,157.01213765144348,979.513927936554,0.18999910354614258,1136.7160646915436,4101,2072,422,4469,2715,47764,0,0,0,False
45,270,16,85.03996348381042,1323.4935801029205,0.12819814682006836,1408.661741733551,3073,2340,260,3314,2703,28113,0,0,0,False
50,198,16,42.57709002494812,917.1313128471375,0.08877253532409668,959.7971754074097,2836,2248,188,3057,2560,24435,0,0,0,False
35,565,16,362.31315302848816,4631.923100948334,0.33298254013061523,4994.5692365169525,4683,2892,558,5344,3790,41721,0,0,0,False
40,519,16,315.2249376773834,3833.428959608078,0.3397691249847412,4148.993666410446,4761,2730,511,5495,3706,42883,0,0,0,False
50,347,16,109.11249375343323,1051.6779401302338,0.08030962944030762,1160.8707435131073,4722,2070,337,5610,3290,49254,0,0,0,False
50,417,16,214.3945722579956,1740.8815042972565,0.14905595779418945,1955.4251325130463,4321,2185,409,4876,3052,43109,0,0,0,False
50,342,16,57.84628987312317,1104.1956617832184,0.06569242477416992,1162.1076440811157,3877,2250,334,4320,2903,45537,0,0,0,False
50,208,16,68.49386405944824,770.7611773014069,0.04628467559814453,839.3013260364532,3769,2299,200,4359,3041,36128,0,0,0,False
45,552,16,220.59877252578735,2546.4941844940186,0.24662542343139648,2767.3395824432373,3675,2298,544,3984,2865,32228,0,0,0,False
50,399,16,133.9812364578247,1808.39009141922,0.19355463981628418,1942.564882516861,3475,2159,391,3814,2745,29651,0,0,0,False
50,482,16,194.3534655570984,1976.88147854805,0.19850373268127441,2171.4334478378296,4848,2347,472,5678,3528,57621,0,0,0,False
50,473,16,177.54112696647644,1826.5640332698822,0.29480457305908203,2004.3999648094177,3771,2795,464,3987,3075,37240,0,0,0,False
50,332,16,131.06262588500977,909.368880033493,0.07321882247924805,1040.504724740982,4838,1981,323,6050,3503,56192,0,0,0,False
50,497,16,196.97656774520874,2566.2588725090027,0.26994895935058594,2763.505389213562,4117,2089,488,4507,2798,51123,0,0,0,False
50,376,16,99.82396793365479,1132.0577425956726,0.07753133773803711,1231.9592418670654,4002,2222,366,4492,3003,47143,0,0,0,False
45,465,16,279.14095664024353,2864.759956598282,0.1955583095550537,3144.0964715480804,4272,2376,457,4803,3184,42766,0,0,0,False
50,396,16,162.09363079071045,965.0693366527557,0.08111953735351562,1127.2440869808197,4602,2071,386,5537,3362,44478,0,0,0,False
35,585,16,434.1079988479614,5951.5817840099335,0.41963815689086914,6386.109421014786,4878,2928,578,5598,3873,49199,0,0,0,False
50,252,16,120.20855331420898,763.640554189682,0.0616605281829834,883.910768032074,4251,2435,246,4953,3375,41682,0,0,0,False
50,362,16,124.76023530960083,1206.1145009994507,0.12224769592285156,1330.9969840049744,4464,2253,352,5173,3238,48304,0,0,0,False
50,431,16,104.53964495658875,1179.7422263622284,0.08918404579162598,1284.3710553646088,4985,1994,423,5967,3377,60200,0,0,0,False
45,455,16,318.5656340122223,4096.426365613937,0.2447969913482666,4415.236796617508,4300,2597,449,4940,3418,44237,0,0,0,False
30,749,16,471.02733993530273,8222.802808761597,0.3171224594116211,8694.147271156311,5518,3165,739,6482,4387,53830,0,0,0,False
40,945,16,468.0806736946106,8074.484389305115,0.3256518840789795,8542.890714883804,5877,3518,935,6627,4580,55000,0,0,0,False